"STATISTIC","STATISTIC Label","TLIST(A1)","Year","C03137V03789","Type of Cattle","C02196V04140","Region and County","UNIT","VALUE"
"AAA10","Number of Cattle in June","2015","2015","01","Cows","IE05207","Kilkenny","000 Head","110.7"
"AAA10","Number of Cattle in June","2015","2015","01","Cows","IE05214","Wexford","000 Head","97.7"
"AAA10","Number of Cattle in June","2015","2015","01","Cows","IE05225","Waterford","000 Head","96.3"
"AAA10","Number of Cattle in June","2015","2015","01","Cows","IE053","South-West","000 Head","566.1"
"AAA10","Number of Cattle in June","2015","2015","01","Cows","IE05316","Cork","000 Head","421.4"
"AAA10","Number of Cattle in June","2015","2015","01","Cows","IE05319","Kerry","000 Head","144.6"
"AAA10","Number of Cattle in June","2015","2015","01","Cows","IE06","Eastern and Midland","000 Head","433.1"
"AAA10","Number of Cattle in June","2015","2015","01","Cows","IE061","Dublin","000 Head","6.9"
"AAA10","Number of Cattle in June","2015","2015","01","Cows","IE06106","Dublin and Mid-East","000 Head","203.2"
"AAA10","Number of Cattle in June","2015","2015","01","Cows","IE06206","Kildare","000 Head","35.1"
"AAA10","Number of Cattle in June","2015","2015","01","Cows","IE06210","Louth","000 Head","26.4"
"AAA10","Number of Cattle in June","2015","2015","01","Cows","IE06211","Meath","000 Head","92.4"
"AAA10","Number of Cattle in June","2015","2015","01","Cows","IE06215","Wicklow","000 Head","42.3"
"AAA10","Number of Cattle in June","2015","2015","01","Cows","IE063","Midland","000 Head","229.8"
"AAA10","Number of Cattle in June","2015","2015","01","Cows","IE06308","Laois","000 Head","69.6"
"AAA10","Number of Cattle in June","2015","2015","01","Cows","IE06309","Longford","000 Head","35.8"
"AAA10","Number of Cattle in June","2015","2015","01","Cows","IE06312","Offaly","000 Head","59.3"
"AAA10","Number of Cattle in June","2015","2015","01","Cows","IE06313","Westmeath","000 Head","65.2"
"AAA10","Number of Cattle in June","2015","2015","02","Dairy cows","-","State","000 Head","1295.8"
"AAA10","Number of Cattle in June","2015","2015","02","Dairy cows","IE04","Northern and Western","000 Head","155"
"AAA10","Number of Cattle in June","2015","2015","02","Dairy cows","IE041","Border","000 Head","99.2"
"AAA10","Number of Cattle in June","2015","2015","02","Dairy cows","IE04128","Leitrim","000 Head","2.1"
"AAA10","Number of Cattle in June","2015","2015","02","Dairy cows","IE04131","Sligo","000 Head","8.1"
"AAA10","Number of Cattle in June","2015","2015","02","Dairy cows","IE04132","Cavan","000 Head","35.8"
